Designator,Comment,Layer2,Footprint,Mid X,Mid Y,Rotation,Description,Manufacturer Part Number,Supplier 1,Supplier Part Number 1,,Layer
T26,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,14.605,3.81,180,,,,,,Top
T25,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,13.335,1.27,180,,,,,,Top
T24,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,12.065,3.81,180,,,,,,Top
T23,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,10.795,1.27,180,,,,,,Top
T22,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,9.525,3.81,180,,,,,,Top
T21,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,8.255,1.27,180,,,,,,Top
T20,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,6.985,3.81,180,,,,,,Top
T19,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,3.81,6.985,180,,,,,,Top
T18,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,1.27,8.255,180,,,,,,Top
T17,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,3.81,9.525,180,,,,,,Top
T16,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,1.27,10.795,180,,,,,,Top
T15,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,3.81,12.065,180,,,,,,Top
T14,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,1.27,13.335,180,,,,,,Top
T13,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,3.81,14.605,180,,,,,,Top
T12,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,1.27,15.875,180,,,,,,Top
T11,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,3.81,17.145,180,,,,,,Top
T10,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,1.27,18.415,180,,,,,,Top
T9,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,3.81,19.685,180,,,,,,Top
T8,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,1.27,20.955,180,,,,,,Top
T7,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,3.81,22.225,180,,,,,,Top
T6,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,1.27,23.495,180,,,,,,Top
T5,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,3.81,24.765,180,,,,,,Top
T4,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,1.27,26.035,180,,,,,,Top
T3,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,3.81,27.305,180,,,,,,Top
T2,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,1.27,28.575,180,,,,,,Top
T1,SOLDER_HOLE,TopLayer,MACHINE_PIN_SOLDERHOLE,3.81,29.845,180,,,,,,Top
TP1,SMT_TEST,TopLayer,SMT_TP_-_20,16.3233,8.2587,180,,,,,,Top
R11,0,TopLayer,R0402_0.40MM_HD,14.478,5.461,180,RES 0.0 OHM 1/10W JUMP 0402 SMD,ERJ-2GE0R00X,Digi-Key,P0.0JCT-ND,,Top
R8,100k,TopLayer,R0402_0.40MM_HD,29.5063,17.6797,0,RES 100K OHM 1/10W 1% 0402 SMD,ERJ-2RKF1003X,Digi-Key,P100KLCT-ND,,Top
R13,100k,TopLayer,R0402_0.40MM_HD,5.6388,9.0546,0,RES 100K OHM 1/10W 1% 0402 SMD,ERJ-2RKF1003X,Digi-Key,P100KLCT-ND,,Top
C17,0.1uF 6v,BottomLayer,C0201_PERFECT,10.4772,20.8311,180,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Bottom
C16,0.1uF 6v,BottomLayer,C0201_PERFECT,8.8646,20.066,0,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Bottom
C41,0.1uF 6v,BottomLayer,C0201_PERFECT,13.3604,20.8026,0,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Bottom
C40,0.1uF 6v,BottomLayer,C0201_PERFECT,8.8899,18.3174,0,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Bottom
C39,0.1uF 6v,BottomLayer,C0201_PERFECT,8.8242,21.336,0,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Bottom
C37,0.1uF 6v,BottomLayer,C0201_PERFECT,13.6652,23.471,270,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Bottom
C38,0.1uF 6v,BottomLayer,C0201_PERFECT,8.684,22.396,0,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Bottom
R16,1k,TopLayer,R0402_0.40MM_HD,18.8468,16.3068,180,RES 1K OHM 1/10W 1% 0402 SMD,ERJ-2RKF1001X,Digi-Key,P1.00KLCT-ND,,Top
C35,0.1uF 6v,BottomLayer,C0201_PERFECT,15.3924,19.6088,180,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Bottom
C30,0.1uF 6v,BottomLayer,C0201_PERFECT,9.1714,19.1008,270,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Bottom
C15,0.1uF 6v,BottomLayer,C0201_PERFECT,12.509,17.596,270,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Bottom
C25,0.1uF 6v,BottomLayer,C0201_PERFECT,14.729,18.8214,180,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Bottom
C6,0.1uF 6v,TopLayer,C0201_PERFECT,6.4019,21.346,0,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Top
C14,0.1uF 6v,BottomLayer,C0201_PERFECT,14.484,17.321,0,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Bottom
C12,0.1uF 6v,BottomLayer,C0201_PERFECT,12.7,15.3924,90,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Bottom
C13,0.1uF 6v,BottomLayer,C0201_PERFECT,10.3886,20.2946,180,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Bottom
C24,0.1uF 6v,BottomLayer,C0201_PERFECT,10.4902,16.8148,0,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Bottom
R14,100k,TopLayer,R0402_0.40MM_HD,5.6388,7.366,0,RES 100K OHM 1/10W 1% 0402 SMD,ERJ-2RKF1003X,Digi-Key,P100KLCT-ND,,Top
R12,100k,TopLayer,R0402_0.40MM_HD,5.6388,10.9574,0,RES 100K OHM 1/10W 1% 0402 SMD,ERJ-2RKF1003X,Digi-Key,P100KLCT-ND,,Top
D1,BAT760-7,TopLayer,D_SOD-323_P,29.1846,30.1752,180,DIODE SCHOTTKY 30V 1A SOD323,BAT760-7,Digi-Key,BAT760DICT-ND,,Top
R1,10k,TopLayer,R0402_0.40MM_HD,17.6152,25.1911,180,RES 10K OHM 1/10W 1% 0402 SMD,ERJ-2RKF1002X,Digi-Key,P10.0KLCT-ND,,Top
R5,20k,TopLayer,R0402_0.40MM_HD,26.9231,19.9495,0,RES 20K OHM 1/10W 1% 0402 SMD,ERJ-2RKF2002X,Digi-Key,P20.0KLCT-ND,,Top
R4,2.2k,TopLayer,R0402_0.40MM_HD,22.1931,18.9161,270,RES 2.2K OHM 1/10W 1% 0402 SMD,ERJ-2RKF2201X,Digi-Key,P2.20KLCT-ND,,Top
R3,2.2k,TopLayer,R0402_0.40MM_HD,20.963,20.955,90,RES 2.2K OHM 1/10W 1% 0402 SMD,ERJ-2RKF2201X,Digi-Key,P2.20KLCT-ND,,Top
R2,20k,TopLayer,R0402_0.40MM_HD,23.276,18.9161,270,RES 20K OHM 1/10W 1% 0402 SMD,ERJ-2RKF2002X,Digi-Key,P20.0KLCT-ND,,Top
C18,2.2µF,TopLayer,C0603_0.90MM_MD,29.9974,21.9844,270,CAP CER 2.2UF 6.3V X7R 0603,GCM188R70J225KE22D,Digikey,490-5316-1-ND,,Top
C10,1µF,BottomLayer,C0402_0.55MM_HD,11.684,22.996,270,CAP CER 1UF 10V X7S 0402,GCM155C71A105KE38D,Digikey,490-13409-1-ND,,Bottom
R10,0,TopLayer,R0402_0.40MM_HD,17.7885,29.8838,180,RES 0.0 OHM 1/10W JUMP 0402 SMD,ERJ-2GE0R00X,Digi-Key,P0.0JCT-ND,,Top
R7,0,TopLayer,R0402_0.40MM_HD,22.225,29.9241,180,RES 0.0 OHM 1/10W JUMP 0402 SMD,ERJ-2GE0R00X,Digi-Key,P0.0JCT-ND,,Top
C9,10µF,TopLayer,C0603_0.90MM_MD,19.8507,29.8838,180,CAP CER 10UF 10V X5R 0603,GRT188R61A106ME13D,Digikey,490-12312-1-ND,,Top
C7,10µF,TopLayer,C0603_0.90MM_MD,24.1447,29.9241,180,CAP CER 10UF 10V X5R 0603,GRT188R61A106ME13D,Digikey,490-12312-1-ND,,Top
L3,2.2µH 1.5A,TopLayer,L_NRH3012,19.6648,27.4872,90,Inductor 2.2µH 1.5A,NRH3012T2R2MN,Digikey,587-2589-1-ND,,Top
L2,2.2µH 1.5A,TopLayer,L_NRH3012,23.1007,27.4872,90,Inductor 2.2µH 1.5A,NRH3012T2R2MN,Digikey,587-2589-1-ND,,Top
R6,0,TopLayer,R0402_0.40MM_HD,29.2181,19.3297,0,RES 0.0 OHM 1/10W JUMP 0402 SMD,ERJ-2GE0R00X,Digi-Key,P0.0JCT-ND,,Top
C8,1µF,TopLayer,C0402_0.55MM_HD,20.6875,24.284,90,CAP CER 1UF 10V X7S 0402,GCM155C71A105KE38D,Digikey,490-13409-1-ND,,Top
C5,2.2µF,TopLayer,C0603_0.90MM_MD,25.7677,27.3079,90,CAP CER 2.2UF 6.3V X7R 0603,GCM188R70J225KE22D,Digikey,490-5316-1-ND,,Top
C4,1µF,TopLayer,C0402_0.55MM_HD,29.2475,27.1301,180,CAP CER 1UF 10V X7S 0402,GCM155C71A105KE38D,Digikey,490-13409-1-ND,,Top
C3,0.47µF,TopLayer,C0402_0.55MM_HD,29.3681,20.1765,180,CAP CER 0.47UF 25V X5R 0402,GRT155R61E474KE01D,Digikey,490-12269-1-ND,,Top
C2,4.7µF,TopLayer,C0603_1.00MM_MD,29.2833,25.5299,0,CAP CER 4.7UF 6.3V X7S 0603,GCJ188C70J475KE02D,Digikey,490-16480-1-ND,,Top
C1,2.2µF,TopLayer,C0603_0.90MM_MD,29.1967,24.0059,180,CAP CER 2.2UF 6.3V X7R 0603,GCM188R70J225KE22D,Digikey,490-5316-1-ND,,Top
U2,PCA9420BSAZ,TopLayer,PCA9420,24.231,23.2819,0,Power Management IC for Low-Power Microcontroller Applications 24-Pin HVQFN,PCA9420BSAZ,Mouser,771-PCA9420BSAZ,,Top
C23,0.1uF 6v,BottomLayer,C0201_PERFECT,14.4242,18.161,180,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Bottom
C22,0.1uF 6v,BottomLayer,C0201_PERFECT,12.8778,19.6088,0,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Bottom
C36,0.1uF 6v,BottomLayer,C0201_PERFECT,12.689,23.144,270,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Bottom
C21,0.1uF 6v,BottomLayer,C0201_PERFECT,10.4902,19.5834,180,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Bottom
C20,0.1uF 6v,BottomLayer,C0201_PERFECT,9.9822,17.8054,180,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Bottom
C43,0.1µF,TopLayer,C0402_0.55MM_MD,8.255,8.8337,90,CAP CER 0.1UF 16V X7R 0402,CGA2B1X7R1C104K050BC,Digikey,445-5613-1-ND,,Top
C42,4.7µF,TopLayer,C0603_1.00MM_MD,15.584,10.4085,270,CAP CER 4.7UF 6.3V X7S 0603,GCJ188C70J475KE02D,Digikey,490-16480-1-ND,,Top
C34,0.1uF 6v,BottomLayer,C0201_PERFECT,11.7094,20.9296,90,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Bottom
C33,0.1uF 6v,BottomLayer,C0201_PERFECT,9.6771,21.5319,90,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Bottom
C32,0.1uF 6v,BottomLayer,C0201_PERFECT,9.6774,16.5862,270,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Bottom
C31,0.1uF 6v,BottomLayer,C0201_PERFECT,13.909,15.746,0,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Bottom
C29,0.1uF 6v,BottomLayer,C0201_PERFECT,10.4902,18.8214,180,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Bottom
C28,0.1uF 6v,BottomLayer,C0201_PERFECT,12.8524,18.8214,0,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Bottom
C27,0.1uF 6v,BottomLayer,C0201_PERFECT,11.684,17.1008,270,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Bottom
C26,0.1uF 6v,BottomLayer,C0201_PERFECT,15.3924,20.32,180,Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R,CC0201KRX5R5BB104,Digi-Key,311-1408-1-ND,,Bottom
X2,24MHz,TopLayer,ABM3,14.7135,27.2425,0,CRYSTAL 24.000MHZ 18PF SMD,ABM3-24.000MHZ-B2-T,Digi-Key,535-9106-1-ND,,Top
C19,18pF,TopLayer,C0402_0.55MM_HD,13.2809,29.236,180,CAP CER 18PF 50V C0G 0402,CGA2B2C0G1H180J050BA,Digikey,445-5587-1-ND,,Top
C11,18pF,TopLayer,C0402_0.55MM_HD,16.1129,29.236,0,CAP CER 18PF 50V C0G 0402,CGA2B2C0G1H180J050BA,Digikey,445-5587-1-ND,,Top
U1,MIMXRT685SFVKB,TopLayer,VFBGA176,11.684,18.796,0,SOC i.MX ARM Cortex M33 176-Pin VFBGA Tray,MIMXRT685SFVKB,,,,Top
U4,"PRTR5V0U2X,215",TopLayer,SOT143B,29.7672,15.0631,0,TVS DIODE 5.5VWM SOT143B,"PRTR5V0U2X,215",Digi-Key,568-4140-1-ND,,Top
D2,BAT760-7,TopLayer,D_SOD-323_P,29.1307,28.5297,180,DIODE SCHOTTKY 30V 1A SOD323,BAT760-7,Digi-Key,BAT760DICT-ND,,Top
